38	Lincoln Center — New York City, USA	https://media.architecturaldigest.com/photos/5e3c9d73e71de50008ce303c/master/w_1600,c_limit/GettyImages-101637595.jpg
39	The Shard — London, UK	https://media.architecturaldigest.com/photos/59a8395bc0ee8e1782988214/master/w_1600,c_limit/GettyImages-149049998.jpg
40	Le Mont-Saint-Michel — Normandy, France	https://media.architecturaldigest.com/photos/59a8396c0f5802540ef17035/master/w_1600,c_limit/GettyImages-148658096.jpg
41	Bran Castle — Bran, Romania	https://media.architecturaldigest.com/photos/59a83975c0ee8e1782988216/master/w_1600,c_limit/GettyImages-72834972.jpg
42	Angkor Wat — Siem Reap, Cambodia	https://media.architecturaldigest.com/photos/59a839d3a8a79c392f89ebd7/master/w_1600,c_limit/GettyImages-73858946.jpg
43	Sultan Ahmed Mosque — Istanbul, Turkey	https://media.architecturaldigest.com/photos/59a839df0f5802540ef1704d/master/w_1600,c_limit/GettyImages-504661326.jpg
44	Konark Sun Tower — Konark, India	https://media.architecturaldigest.com/photos/5e3ca242e71de50008ce303e/master/w_1600,c_limit/GettyImages-952020240%20(1).jpg
45	Chrysler Building — New York City, USA	https://media.architecturaldigest.com/photos/59a83a1f0f5802540ef17065/master/w_1600,c_limit/GettyImages-52989863.jpg
46	Sacré-Coeur — Paris, France	https://media.architecturaldigest.com/photos/59a83a270f5802540ef17067/master/w_1600,c_limit/GettyImages-3319423.jpg
47	Potala Palace — Lhasa, Tibet, China	https://media.architecturaldigest.com/photos/59a83a4ea8a79c392f89ebf0/master/w_1600,c_limit/GettyImages-85527130.jpg
48	Musée du Louvre — Paris, France	https://media.architecturaldigest.com/photos/59a83abcc0ee8e1782988243/master/w_1600,c_limit/GettyImages-53463049.jpg
49	Sydney Opera House — Sydney, Australia	https://media.architecturaldigest.com/photos/5e3d8445f7884d0008fde3d9/master/w_1600,c_limit/GettyImages-86963015.jpg
50	 Guggenheim Museum, Bilbao — Bilbao, Spain	https://media.architecturaldigest.com/photos/59a83b440f5802540ef1708c/master/w_1600,c_limit/GettyImages-451199312.jpg
51	Fallingwater — Mill Run, Pennsylvania, USA	https://media.architecturaldigest.com/photos/59a83aebc0ee8e178298824f/master/w_1600,c_limit/GettyImages-612272530.jpg
52	The Pantheon — Rome, Italy	https://media.architecturaldigest.com/photos/59a83b07a8a79c392f89ec0a/master/w_1600,c_limit/GettyImages-567596451.jpg
53	Space Needle — Seattle, Washington, USA	https://media.architecturaldigest.com/photos/59a83adfa8a79c392f89ec08/master/w_1600,c_limit/GettyImages-1334571.jpg
54	Villa Savoye — Poissy, France	https://media.architecturaldigest.com/photos/5e3d86e92fd7a1000934425d/master/w_1600,c_limit/GettyImages-1082924152.jpg
55	House of Parliament and Elizabeth Tower — London, U.K.	https://media.architecturaldigest.com/photos/5e3d873df7884d0008fde3db/master/w_1600,c_limit/GettyImages-1062914940.jpg
56	Burj Khalifa — Dubai, UAE	https://media.architecturaldigest.com/photos/59a83c8ec0ee8e178298827f/master/w_1600,c_limit/GettyImages-93436735.jpg
57	Leaning Tower of Pisa — Pisa, Italy	https://media.architecturaldigest.com/photos/5e3d87fc2fd7a1000934425f/master/w_1600,c_limit/GettyImages-695281734.jpg
58	São Paulo Museum of Art — São Paulo, Brazil	https://media.architecturaldigest.com/photos/5e3d88eef7884d0008fde3dd/master/w_1600,c_limit/GettyImages-1145869847.jpg
59	The Flatiron Building — New York City, USA	https://media.architecturaldigest.com/photos/59a837370f5802540ef16f7a/master/w_1600,c_limit/GettyImages-815824356.jpg
60	Eiffel Tower — Paris, France	https://media.architecturaldigest.com/photos/5e3d89a8e71de50008ce3087/master/w_1600,c_limit/GettyImages-1145490957.jpg
61	Abode318 (Melbourne, Australia)	https://media.architecturaldigest.com/photos/5d76b362e40c200008062822/master/w_1920%2Cc_limit/1098_150215_PC_09.jpg
62	Willis Tower (Chicago, Illinois)	https://media.architecturaldigest.com/photos/5d76c0cd970dba0008f85bd6/master/w_1920%2Cc_limit/Willis%2520Tower.jpg
63	Transamerica Pyramid (San Francisco, California)	https://media.architecturaldigest.com/photos/5d76c0d053bb990008f63d10/master/w_1920%2Cc_limit/Transamerica%2520Pyramid.jpg
64	Al Hamra Tower (Kuwait City, Kuwait)	https://media.architecturaldigest.com/photos/5d76c0d36c05d1000ae1dff4/master/w_1920%2Cc_limit/Al%2520Hamra%2520Tower.jpg
65	432 Park Avenue (New York, New York)	https://media.architecturaldigest.com/photos/5d76c16f970dba0008f85bd8/master/w_1920%2Cc_limit/GettyImages-960607888.jpg
66	Marina Bay Sands Hotel (Singapore)	https://media.architecturaldigest.com/photos/5d76c6d26c05d1000ae1dff6/master/w_1920%2Cc_limit/GettyImages-138613430.jpg
